name,radius,distance,atmosphere,P. Habitable Class,P. Disc. Method,P. Disc. Year,
Kepler-469 b,17.89,714,,non-habitable,Transit,2016,
Kepler-470 b,14.43,989,,non-habitable,Transit,2016,
Kepler-471 b,14.95,1373,,non-habitable,Transit,2016,
Kepler-472 b,3.21,302,metals-rich,non-habitable,Transit,2016,
Kepler-473 b,4.08,641,metals-rich,non-habitable,Transit,2016,
Kepler-474 b,3.06,568,metals-rich,non-habitable,Transit,2016,
Kepler-475 b,2.49,280,metals-rich,non-habitable,Transit,2016,
Kepler-476 b,3.08,687,metals-rich,non-habitable,Transit,2016,
Kepler-477 b,2.07,367,metals-rich,non-habitable,Transit,2016,
Kepler-478 b,2.71,420,metals-rich,non-habitable,Transit,2016,
Kepler-479 b,2.12,371,metals-rich,non-habitable,Transit,2016,
Kepler-480 b,2.78,806,no-atmosphere,non-habitable,Transit,2016,
Kepler-481 b,2.5,713,metals-rich,non-habitable,Transit,2016,
Kepler-482 b,2.36,290,hydrogen-rich,non-habitable,Transit,2016,
Kepler-483 b,3.2,953,metals-rich,non-habitable,Transit,2016,
Kepler-484 b,2.27,377,metals-rich,non-habitable,Transit,2016,
Kepler-485 b,14.4,1173,,non-habitable,Transit,2016,
Kepler-486 b,10.99,428,hydrogen-rich,non-habitable,Transit,2016,
Kepler-487 b,11.41,835,hydrogen-rich,non-habitable,Transit,2016,
Kepler-487 c,2.68,835,metals-rich,non-habitable,Transit,2016,
Kepler-488 b,15.78,1157,,non-habitable,Transit,2016,
Kepler-489 b,7.72,379,hydrogen-rich,non-habitable,Transit,2016,
Kepler-490 b,11.64,1249,hydrogen-rich,non-habitable,Transit,2016,
Kepler-491 b,8.92,657,metals-rich,non-habitable,Transit,2016,
Kepler-492 b,9.59,642,hydrogen-rich,non-habitable,Transit,2016,
Kepler-493 b,15.12,1942,,non-habitable,Transit,2016,
Kepler-494 b,7.13,862,metals-rich,non-habitable,Transit,2016,
Kepler-495 b,5.23,630,metals-rich,non-habitable,Transit,2016,
Kepler-496 b,2.32,655,metals-rich,non-habitable,Transit,2016,
Kepler-497 b,6.04,1070,metals-rich,non-habitable,Transit,2016,
Kepler-498 b,3.02,746,metals-rich,non-habitable,Transit,2016,
Kepler-499 b,2.17,523,metals-rich,non-habitable,Transit,2016,
Kepler-500 b,2.58,747,no-atmosphere,non-habitable,Transit,2016,
Kepler-501 b,4.3,1044,metals-rich,non-habitable,Transit,2016,
Kepler-502 b,4.77,1433,metals-rich,non-habitable,Transit,2016,
Kepler-503 b,6.26,888,metals-rich,non-habitable,Transit,2016,
Kepler-504 b,1.59,75,metals-rich,non-habitable,Transit,2016,
Kepler-505 b,2.6,222,metals-rich,non-habitable,Transit,2016,
Kepler-506 b,2.73,231,no-atmosphere,non-habitable,Transit,2016,
Kepler-507 b,1.3,410,no-atmosphere,non-habitable,Transit,2016,
Kepler-508 b,1.64,325,metals-rich,non-habitable,Transit,2016,
Kepler-509 b,2.49,339,metals-rich,non-habitable,Transit,2016,
Kepler-510 b,2.46,378,metals-rich,non-habitable,Transit,2016,
Kepler-511 b,6.35,448,hydrogen-rich,non-habitable,Transit,2016,
Kepler-512 b,2.69,531,metals-rich,non-habitable,Transit,2016,
Kepler-513 b,2.2,467,metals-rich,non-habitable,Transit,2016,
Kepler-514 b,1.71,489,metals-rich,non-habitable,Transit,2016,
Kepler-515 b,1.46,255,metals-rich,non-habitable,Transit,2016,
Kepler-516 b,5.73,777,metals-rich,non-habitable,Transit,2016,
Kepler-517 b,2.67,284,metals-rich,non-habitable,Transit,2016,
Kepler-518 b,2.11,324,metals-rich,non-habitable,Transit,2016,
Kepler-519 b,2.09,234,metals-rich,non-habitable,Transit,2016,
Kepler-520 b,1.66,492,metals-rich,non-habitable,Transit,2016,
Kepler-520 c,1.06,492,no-atmosphere,non-habitable,Transit,2016,
Kepler-521 b,3.18,737,metals-rich,non-habitable,Transit,2016,
Kepler-522 b,6.9,749,metals-rich,non-habitable,Transit,2016,
Kepler-523 b,1.96,270,metals-rich,non-habitable,Transit,2016,
Kepler-524 b,1.9,730,metals-rich,non-habitable,Transit,2016,
Kepler-524 c,0.96,730,no-atmosphere,non-habitable,Transit,2016,
Kepler-525 b,2.63,566,metals-rich,non-habitable,Transit,2016,
Kepler-526 b,1.99,504,metals-rich,non-habitable,Transit,2016,
Kepler-527 b,2.83,901,metals-rich,non-habitable,Transit,2016,
Kepler-528 b,2.08,711,metals-rich,non-habitable,Transit,2016,
Kepler-529 b,1.86,787,metals-rich,non-habitable,Transit,2016,
Kepler-529 c,1.99,787,metals-rich,non-habitable,Transit,2016,
Kepler-530 b,3.01,464,metals-rich,non-habitable,Transit,2016,
Kepler-531 b,2.78,254,metals-rich,non-habitable,Transit,2016,
Kepler-532 b,2.56,325,metals-rich,non-habitable,Transit,2016,
Kepler-533 b,3.38,305,metals-rich,non-habitable,Transit,2016,
Kepler-534 b,2.24,473,metals-rich,non-habitable,Transit,2016,
Kepler-535 b,2.36,678,metals-rich,non-habitable,Transit,2016,
Kepler-536 b,3.1,446,no-atmosphere,non-habitable,Transit,2016,
Kepler-537 b,1.41,465,metals-rich,non-habitable,Transit,2016,
Kepler-538 b,2.26,165,metals-rich,non-habitable,Transit,2016,
Kepler-539 b,8.37,313,no-atmosphere,non-habitable,Transit,2016,
Kepler-539 c,1.35,313,metals-rich,non-habitable,Transit,2016,
Kepler-540 b,2.71,350,metals-rich,non-habitable,Transit,2016,
Kepler-541 b,3.36,1020,metals-rich,non-habitable,Transit,2016,
Kepler-542 b,1.57,439,metals-rich,non-habitable,Transit,2016,
Kepler-543 b,2.5,212,hydrogen-rich,non-habitable,Transit,2016,
Kepler-544 b,2.12,797,metals-rich,non-habitable,Transit,2016,
Kepler-545 b,2.69,831,metals-rich,non-habitable,Transit,2016,
Kepler-546 b,6.99,896,metals-rich,non-habitable,Transit,2016,
Kepler-547 b,4,361,metals-rich,non-habitable,Transit,2016,
Kepler-548 b,11.98,776,,non-habitable,Transit,2016,
Kepler-549 b,2.56,648,metals-rich,non-habitable,Transit,2016,
Kepler-549 c,2.92,648,metals-rich,non-habitable,Transit,2016,
Kepler-550 b,4.41,563,metals-rich,non-habitable,Transit,2016,
Kepler-551 b,2.73,312,metals-rich,non-habitable,Transit,2016,
Kepler-552 b,3.94,834,metals-rich,non-habitable,Transit,2016,
Kepler-553 b,4.63,725,metals-rich,non-habitable,Transit,2016,
Kepler-553 c,11.19,725,hydrogen-rich,non-habitable,Transit,2016,
Kepler-554 b,4.29,642,metals-rich,non-habitable,Transit,2016,
Kepler-555 b,2.82,772,metals-rich,non-habitable,Transit,2016,
Kepler-556 b,2.24,729,metals-rich,non-habitable,Transit,2016,
Kepler-557 b,2.67,1126,no-atmosphere,non-habitable,Transit,2016,
Kepler-558 b,2.36,652,metals-rich,non-habitable,Transit,2016,
Kepler-559 b,3.61,793,metals-rich,non-habitable,Transit,2016,
Kepler-560 b,1.71,88,metals-rich,non-habitable,Transit,2016,
Kepler-561 b,6.96,667,hydrogen-rich,non-habitable,Transit,2016,
Kepler-561 c,2.68,667,no-atmosphere,non-habitable,Transit,2016,
Kepler-562 b,5.21,822,metals-rich,non-habitable,Transit,2016,
Kepler-563 b,3.09,557,metals-rich,non-habitable,Transit,2016,
Kepler-564 b,4.63,830,metals-rich,non-habitable,Transit,2016,
Kepler-565 b,3.64,1041,metals-rich,non-habitable,Transit,2016,
Kepler-566 b,2.15,628,metals-rich,non-habitable,Transit,2016,
Kepler-567 b,2.25,568,metals-rich,non-habitable,Transit,2016,
Kepler-568 b,2.26,126,metals-rich,non-habitable,Transit,2016,
Kepler-569 b,3.16,645,metals-rich,non-habitable,Transit,2016,
Kepler-570 b,2.45,642,metals-rich,non-habitable,Transit,2016,
Kepler-571 b,2.64,756,no-atmosphere,non-habitable,Transit,2016,
Kepler-572 b,2.58,532,metals-rich,non-habitable,Transit,2016,
Kepler-573 b,2.79,758,metals-rich,non-habitable,Transit,2016,
Kepler-574 b,2.39,747,metals-rich,non-habitable,Transit,2016,
Kepler-575 b,2.39,852,metals-rich,non-habitable,Transit,2016,
Kepler-576 b,3.27,698,metals-rich,non-habitable,Transit,2016,
Kepler-577 b,2.54,549,metals-rich,non-habitable,Transit,2016,
Kepler-578 b,1.99,568,metals-rich,non-habitable,Transit,2016,
Kepler-579 b,1.99,663,metals-rich,non-habitable,Transit,2016,
Kepler-580 b,2.56,333,metals-rich,non-habitable,Transit,2016,
Kepler-581 b,2.63,833,metals-rich,non-habitable,Transit,2016,
Kepler-582 b,3.67,751,metals-rich,non-habitable,Transit,2016,
Kepler-583 b,2.27,805,metals-rich,non-habitable,Transit,2016,
Kepler-584 b,4.21,1445,metals-rich,non-habitable,Transit,2016,
Kepler-585 b,2.82,604,no-atmosphere,non-habitable,Transit,2016,
Kepler-586 b,2.79,707,no-atmosphere,non-habitable,Transit,2016,
Kepler-587 b,2.23,852,metals-rich,non-habitable,Transit,2016,
Kepler-588 b,2.63,972,no-atmosphere,non-habitable,Transit,2016,
Kepler-589 b,2.27,643,metals-rich,non-habitable,Transit,2016,
Kepler-590 b,4.02,986,metals-rich,non-habitable,Transit,2016,
Kepler-591 b,3.38,793,metals-rich,non-habitable,Transit,2016,
Kepler-592 b,2.39,1034,metals-rich,non-habitable,Transit,2016,
Kepler-593 b,2.87,1016,metals-rich,non-habitable,Transit,2016,
Kepler-594 b,2.17,742,metals-rich,non-habitable,Transit,2016,
Kepler-595 b,3.81,639,metals-rich,non-habitable,Transit,2016,
Kepler-596 b,3.46,1083,metals-rich,non-habitable,Transit,2016,
Kepler-597 b,2.36,660,metals-rich,non-habitable,Transit,2016,
Kepler-598 b,1.5,686,metals-rich,non-habitable,Transit,2016,
Kepler-599 b,2.83,627,metals-rich,non-habitable,Transit,2016,
Kepler-600 b,2.9,624,metals-rich,non-habitable,Transit,2016,
Kepler-601 b,1.9,429,metals-rich,non-habitable,Transit,2016,
Kepler-602 b,2.08,971,metals-rich,non-habitable,Transit,2016,
Kepler-603 b,2.64,967,metals-rich,non-habitable,Transit,2016,
Kepler-603 c,6.5,967,hydrogen-rich,non-habitable,Transit,2016,
Kepler-603 d,1.32,967,metals-rich,non-habitable,Transit,2016,
Kepler-604 b,2.59,981,metals-rich,non-habitable,Transit,2016,
Kepler-605 b,1.43,570,metals-rich,non-habitable,Transit,2016,
Kepler-605 c,0.86,570,no-atmosphere,non-habitable,Transit,2016,
Kepler-606 b,3.3,1208,metals-rich,non-habitable,Transit,2016,
Kepler-607 b,0.87,500,no-atmosphere,non-habitable,Transit,2016,
Kepler-608 b,3.64,926,metals-rich,non-habitable,Transit,2016,
Kepler-609 b,3.35,1143,metals-rich,non-habitable,Transit,2016,
Kepler-610 b,4.19,1113,metals-rich,non-habitable,Transit,2016,
Kepler-610 c,3.29,1113,metals-rich,non-habitable,Transit,2016,
Kepler-611 b,1.65,906,metals-rich,non-habitable,Transit,2016,
Kepler-612 b,2.83,932,no-atmosphere,non-habitable,Transit,2016,
Kepler-613 b,2.28,864,metals-rich,non-habitable,Transit,2016,
Kepler-614 b,2.39,571,metals-rich,non-habitable,Transit,2016,
Kepler-615 b,1.74,330,metals-rich,non-habitable,Transit,2016,
Kepler-616 b,2.43,1019,metals-rich,non-habitable,Transit,2016,
Kepler-616 c,3.4,1019,metals-rich,non-habitable,Transit,2016,
Kepler-617 b,1.32,150,metals-rich,non-habitable,Transit,2016,
Kepler-618 b,2.6,1115,no-atmosphere,non-habitable,Transit,2016,
Kepler-619 b,3.16,1111,metals-rich,non-habitable,Transit,2016,
Kepler-619 c,1.69,1111,metals-rich,non-habitable,Transit,2016,
Kepler-620 b,3.32,1241,metals-rich,non-habitable,Transit,2016,
Kepler-621 b,2.3,389,metals-rich,non-habitable,Transit,2016,
Kepler-622 b,2.13,259,metals-rich,non-habitable,Transit,2016,
Kepler-623 b,3.01,811,metals-rich,non-habitable,Transit,2016,
Kepler-624 b,2.31,731,metals-rich,non-habitable,Transit,2016,
Kepler-625 b,1.99,502,metals-rich,non-habitable,Transit,2016,
Kepler-625 c,1.05,502,no-atmosphere,non-habitable,Transit,2016,
Kepler-626 b,2.28,690,metals-rich,non-habitable,Transit,2016,
Kepler-627 b,3.73,1143,metals-rich,non-habitable,Transit,2016,
Kepler-628 b,8.39,579,metals-rich,non-habitable,Transit,2016,
Kepler-629 b,1.38,383,metals-rich,non-habitable,Transit,2016,
Kepler-630 b,3.18,657,metals-rich,non-habitable,Transit,2016,
Kepler-631 b,2.9,843,metals-rich,non-habitable,Transit,2016,
Kepler-632 b,2.21,349,metals-rich,non-habitable,Transit,2016,
Kepler-633 b,1.62,634,metals-rich,non-habitable,Transit,2016,
Kepler-634 b,1.89,757,metals-rich,non-habitable,Transit,2016,
Kepler-635 b,2.64,826,metals-rich,non-habitable,Transit,2016,
Kepler-636 b,4.45,341,metals-rich,non-habitable,Transit,2016,
Kepler-637 b,4.75,1575,metals-rich,non-habitable,Transit,2016,
Kepler-638 b,1.83,426,metals-rich,non-habitable,Transit,2016,
Kepler-639 b,2.37,680,metals-rich,non-habitable,Transit,2016,
Kepler-640 b,2.55,538,metals-rich,non-habitable,Transit,2016,
Kepler-641 b,1.85,673,metals-rich,non-habitable,Transit,2016,
Kepler-642 b,2.9,1022,no-atmosphere,non-habitable,Transit,2016,
Kepler-643 b,10.15,1029,hydrogen-rich,non-habitable,Transit,2016,
Kepler-644 b,3.15,1413,no-atmosphere,non-habitable,Transit,2016,
Kepler-645 b,2.09,901,metals-rich,non-habitable,Transit,2016,
Kepler-646 b,1.99,513,metals-rich,non-habitable,Transit,2016,
Kepler-647 b,1.16,789,metals-rich,non-habitable,Transit,2016,
Kepler-648 b,3.21,665,metals-rich,non-habitable,Transit,2016,
Kepler-649 b,2.26,525,metals-rich,non-habitable,Transit,2016,
Kepler-650 b,2.96,805,no-atmosphere,non-habitable,Transit,2016,
Kepler-651 b,2.36,537,metals-rich,non-habitable,Transit,2016,
Kepler-652 b,2.49,423,metals-rich,non-habitable,Transit,2016,
Kepler-653 b,1.95,593,metals-rich,non-habitable,Transit,2016,
Kepler-653 c,0.78,593,no-atmosphere,non-habitable,Transit,2016,
Kepler-654 b,2.07,661,metals-rich,non-habitable,Transit,2016,
Kepler-655 b,2.71,783,metals-rich,non-habitable,Transit,2016,
Kepler-656 b,3.11,867,no-atmosphere,non-habitable,Transit,2016,
Kepler-657 b,3.52,1244,metals-rich,non-habitable,Transit,2016,
Kepler-658 b,1.62,341,metals-rich,non-habitable,Transit,2016,
Kepler-659 b,2.5,688,hydrogen-rich,non-habitable,Transit,2016,
Kepler-660 b,2.56,564,metals-rich,non-habitable,Transit,2016,
Kepler-661 b,3.07,558,metals-rich,non-habitable,Transit,2016,
Kepler-662 b,2.17,641,metals-rich,non-habitable,Transit,2016,
Kepler-663 b,2.6,1030,no-atmosphere,non-habitable,Transit,2016,
Kepler-664 b,2.65,1386,no-atmosphere,non-habitable,Transit,2016,
Kepler-665 b,2.6,651,metals-rich,non-habitable,Transit,2016,
Kepler-666 b,2.4,1330,metals-rich,non-habitable,Transit,2016,
Kepler-667 b,4.73,907,metals-rich,non-habitable,Transit,2016,
Kepler-668 b,2.7,877,metals-rich,non-habitable,Transit,2016,
Kepler-669 b,4.83,1778,metals-rich,non-habitable,Transit,2016,
Kepler-670 b,13.17,980,,non-habitable,Transit,2016,
Kepler-671 b,2.69,1139,no-atmosphere,non-habitable,Transit,2016,
Kepler-672 b,2.5,1011,hydrogen-rich,non-habitable,Transit,2016,
Kepler-673 b,6.53,978,metals-rich,non-habitable,Transit,2016,
Kepler-674 b,1.69,302,metals-rich,non-habitable,Transit,2016,
Kepler-675 b,2.44,651,metals-rich,non-habitable,Transit,2016,
Kepler-676 b,3.04,243,metals-rich,non-habitable,Transit,2016,
Kepler-677 b,5.38,1180,metals-rich,non-habitable,Transit,2016,
Kepler-678 b,5.14,875,metals-rich,non-habitable,Transit,2016,
Kepler-679 b,3.01,968,metals-rich,non-habitable,Transit,2016,
Kepler-680 b,2.42,1342,metals-rich,non-habitable,Transit,2016,
Kepler-681 b,3.08,666,metals-rich,non-habitable,Transit,2016,
Kepler-682 b,7.37,951,metals-rich,non-habitable,Transit,2016,
Kepler-683 b,1.97,976,metals-rich,non-habitable,Transit,2016,
Kepler-684 b,3.36,1066,metals-rich,non-habitable,Transit,2016,
Kepler-685 b,10.57,1145,hydrogen-rich,non-habitable,Transit,2016,
Kepler-686 b,12.14,1203,,non-habitable,Transit,2016,
Kepler-687 b,3.52,628,metals-rich,non-habitable,Transit,2016,
Kepler-688 b,9.76,1247,hydrogen-rich,non-habitable,Transit,2016,
Kepler-689 b,2.89,1044,metals-rich,non-habitable,Transit,2016,
Kepler-690 b,5.95,1653,metals-rich,non-habitable,Transit,2016,
Kepler-691 b,2.08,239,metals-rich,non-habitable,Transit,2016,
Kepler-692 b,3.1,1000,metals-rich,non-habitable,Transit,2016,
Kepler-693 b,10.17,1002,hydrogen-rich,non-habitable,Transit,2016,
Kepler-694 b,2.8,1023,metals-rich,non-habitable,Transit,2016,
Kepler-695 b,9.21,620,metals-rich,non-habitable,Transit,2016,
Kepler-696 b,6.14,1285,metals-rich,non-habitable,Transit,2016,
Kepler-697 b,4.12,1091,metals-rich,non-habitable,Transit,2016,
Kepler-698 b,3.67,1135,metals-rich,non-habitable,Transit,2016,
Kepler-699 b,14.1,888,,non-habitable,Transit,2016,
Kepler-700 b,5.98,1061,metals-rich,non-habitable,Transit,2016,
Kepler-701 b,2.83,755,metals-rich,non-habitable,Transit,2016,
Kepler-702 b,9.16,892,hydrogen-rich,non-habitable,Transit,2016,
Kepler-703 b,8.2,1482,metals-rich,non-habitable,Transit,2016,
Kepler-704 b,2.61,1054,no-atmosphere,non-habitable,Transit,2016,
Kepler-705 b,2.11,251,hydrogen-rich,mesoplanet,Transit,2016,
Kepler-706 b,13.16,810,,non-habitable,Transit,2016,
Kepler-707 b,1.33,626,metals-rich,non-habitable,Transit,2016,
Kepler-708 b,2.92,1241,no-atmosphere,non-habitable,Transit,2016,
Kepler-709 b,2.92,668,metals-rich,non-habitable,Transit,2016,
Kepler-710 b,1.88,919,metals-rich,non-habitable,Transit,2016,
Kepler-711 b,3.4,664,metals-rich,non-habitable,Transit,2016,
Kepler-712 b,3.4,944,metals-rich,non-habitable,Transit,2016,
Kepler-712 c,4.85,944,metals-rich,non-habitable,Transit,2016,
Kepler-713 b,2.48,1003,metals-rich,non-habitable,Transit,2016,
Kepler-714 b,9.67,1460,hydrogen-rich,non-habitable,Transit,2016,
Kepler-715 b,3.75,1214,metals-rich,non-habitable,Transit,2016,
Kepler-716 b,2.9,675,metals-rich,non-habitable,Transit,2016,
Kepler-717 b,2.42,1126,metals-rich,non-habitable,Transit,2016,
Kepler-718 b,16.54,1520,,non-habitable,Transit,2016,
Kepler-719 b,8.51,1427,metals-rich,non-habitable,Transit,2016,
Kepler-720 b,8.4,880,metals-rich,non-habitable,Transit,2016,
Kepler-721 b,2.64,848,metals-rich,non-habitable,Transit,2016,
Kepler-722 b,2.63,1375,no-atmosphere,non-habitable,Transit,2016,
Kepler-722 c,2.82,1375,metals-rich,non-habitable,Transit,2016,
Kepler-723 b,12.19,965,,non-habitable,Transit,2016,
Kepler-724 b,3.29,862,metals-rich,non-habitable,Transit,2016,
Kepler-725 b,10.62,778,hydrogen-rich,non-habitable,Transit,2016,
Kepler-726 b,3.26,838,metals-rich,non-habitable,Transit,2016,
Kepler-727 b,2.53,892,no-atmosphere,non-habitable,Transit,2016,
Kepler-728 b,3.34,1236,metals-rich,non-habitable,Transit,2016,
Kepler-729 b,3.57,1271,metals-rich,non-habitable,Transit,2016,
Kepler-730 b,9.21,1455,hydrogen-rich,non-habitable,Transit,2016,
Kepler-731 b,13.87,1311,,non-habitable,Transit,2016,
Kepler-732 b,2.17,150,metals-rich,non-habitable,Transit,2016,
Kepler-732 c,1.27,150,metals-rich,non-habitable,Transit,2016,
Kepler-733 b,2.82,980,metals-rich,non-habitable,Transit,2016,
Kepler-734 b,3.56,553,metals-rich,non-habitable,Transit,2016,
Kepler-735 b,2.95,790,metals-rich,non-habitable,Transit,2016,
Kepler-736 b,2.92,1007,metals-rich,non-habitable,Transit,2016,
Kepler-737 b,1.96,195,metals-rich,non-habitable,Transit,2016,
Kepler-738 b,2.5,992,hydrogen-rich,non-habitable,Transit,2016,
Kepler-739 b,3.32,1128,metals-rich,non-habitable,Transit,2016,
Kepler-740 b,4.57,1262,metals-rich,non-habitable,Transit,2016,
Kepler-741 b,2.97,1530,metals-rich,non-habitable,Transit,2016,
Kepler-742 b,3.24,499,metals-rich,non-habitable,Transit,2016,
Kepler-743 b,1.21,258,no-atmosphere,non-habitable,Transit,2016,
Kepler-744 b,1.62,486,metals-rich,non-habitable,Transit,2016,
Kepler-745 b,2.16,1199,metals-rich,non-habitable,Transit,2016,
Kepler-746 b,1.11,450,no-atmosphere,non-habitable,Transit,2016,
Kepler-747 b,5.26,855,metals-rich,non-habitable,Transit,2016,
Kepler-748 b,2.52,1271,no-atmosphere,non-habitable,Transit,2016,
Kepler-749 b,3.1,753,metals-rich,non-habitable,Transit,2016,
Kepler-750 b,3.07,1181,metals-rich,non-habitable,Transit,2016,
Kepler-750 c,1.62,1181,metals-rich,non-habitable,Transit,2016,
Kepler-751 b,2.45,748,metals-rich,non-habitable,Transit,2016,
Kepler-752 b,2.81,1075,metals-rich,non-habitable,Transit,2016,
Kepler-753 b,1.9,278,metals-rich,non-habitable,Transit,2016,
Kepler-754 b,2,1192,metals-rich,non-habitable,Transit,2016,
Kepler-755 b,1.76,368,metals-rich,non-habitable,Transit,2016,
Kepler-755 c,1.25,368,metals-rich,non-habitable,Transit,2016,
Kepler-756 b,1.12,852,no-atmosphere,non-habitable,Transit,2016,
Kepler-757 b,1.36,1016,no-atmosphere,non-habitable,Transit,2016,
Kepler-758 b,2.48,1353,metals-rich,non-habitable,Transit,2016,
Kepler-758 c,1.69,1353,metals-rich,non-habitable,Transit,2016,
Kepler-758 d,2.12,1353,metals-rich,non-habitable,Transit,2016,
Kepler-758 e,1.52,1353,metals-rich,non-habitable,Transit,2016,
Kepler-759 b,2.27,892,metals-rich,non-habitable,Transit,2016,
Kepler-760 b,3.06,782,metals-rich,non-habitable,Transit,2016,
Kepler-760 c,1.48,782,metals-rich,non-habitable,Transit,2016,
Kepler-761 b,2.03,867,metals-rich,non-habitable,Transit,2016,
Kepler-762 b,12.67,1465,,non-habitable,Transit,2016,
Kepler-763 b,1.22,902,no-atmosphere,non-habitable,Transit,2016,
Kepler-764 b,1.64,1013,metals-rich,non-habitable,Transit,2016,
Kepler-765 b,2.43,1000,metals-rich,non-habitable,Transit,2016,
Kepler-766 b,3.38,1614,metals-rich,non-habitable,Transit,2016,
Kepler-767 b,6.63,1185,hydrogen-rich,non-habitable,Transit,2016,
Kepler-768 b,1.79,795,metals-rich,non-habitable,Transit,2016,
Kepler-769 b,2.92,1362,metals-rich,non-habitable,Transit,2016,
Kepler-769 c,1.79,1362,metals-rich,non-habitable,Transit,2016,
Kepler-770 b,2.3,761,metals-rich,non-habitable,Transit,2016,
Kepler-770 c,1.2,761,no-atmosphere,non-habitable,Transit,2016,
Kepler-770 d,1.4,761,metals-rich,non-habitable,Transit,2016,
Kepler-771 b,1.81,1000,metals-rich,non-habitable,Transit,2016,
Kepler-772 b,1.81,689,metals-rich,non-habitable,Transit,2016,
Kepler-773 b,1.43,528,metals-rich,non-habitable,Transit,2016,
Kepler-774 b,3.17,1190,metals-rich,non-habitable,Transit,2016,
Kepler-775 b,1.19,400,no-atmosphere,non-habitable,Transit,2016,
Kepler-776 b,1.28,727,metals-rich,non-habitable,Transit,2016,
Kepler-777 b,1.47,383,metals-rich,non-habitable,Transit,2016,
Kepler-778 b,1.68,899,metals-rich,non-habitable,Transit,2016,
Kepler-779 b,0.92,224,metals-rich,non-habitable,Transit,2016,
Kepler-780 b,0.88,520,no-atmosphere,non-habitable,Transit,2016,
Kepler-781 b,2.89,1036,metals-rich,non-habitable,Transit,2016,
Kepler-782 b,3.2,412,metals-rich,non-habitable,Transit,2016,
Kepler-783 b,0.78,544,no-atmosphere,non-habitable,Transit,2016,
Kepler-784 b,1.58,604,metals-rich,non-habitable,Transit,2016,
Kepler-785 b,13.01,666,,non-habitable,Transit,2016,
Kepler-786 b,2.43,512,hydrogen-rich,non-habitable,Transit,2016,
Kepler-787 b,1.28,468,no-atmosphere,non-habitable,Transit,2016,
Kepler-788 b,2.54,1649,no-atmosphere,non-habitable,Transit,2016,
Kepler-789 b,2.12,915,metals-rich,non-habitable,Transit,2016,
Kepler-790 b,2.17,727,metals-rich,non-habitable,Transit,2016,
Kepler-791 b,3.05,1447,metals-rich,non-habitable,Transit,2016,
Kepler-792 b,1.96,1205,metals-rich,non-habitable,Transit,2016,
Kepler-793 b,1.37,794,metals-rich,non-habitable,Transit,2016,
Kepler-794 b,2.11,763,metals-rich,non-habitable,Transit,2016,
Kepler-795 b,1.68,458,metals-rich,non-habitable,Transit,2016,
Kepler-796 b,1.3,377,metals-rich,non-habitable,Transit,2016,
Kepler-797 b,2.17,752,metals-rich,non-habitable,Transit,2016,
Kepler-798 b,2.39,1085,metals-rich,non-habitable,Transit,2016,
Kepler-799 b,6.88,1029,hydrogen-rich,non-habitable,Transit,2016,
Kepler-800 b,2.84,1049,metals-rich,non-habitable,Transit,2016,
Kepler-801 b,1.99,419,metals-rich,non-habitable,Transit,2016,
Kepler-802 b,3.54,828,metals-rich,non-habitable,Transit,2016,
Kepler-803 b,3.79,615,metals-rich,non-habitable,Transit,2016,
Kepler-804 b,1.94,648,metals-rich,non-habitable,Transit,2016,
Kepler-804 c,1.14,648,no-atmosphere,non-habitable,Transit,2016,
Kepler-805 b,2.89,657,metals-rich,non-habitable,Transit,2016,
Kepler-806 b,1.14,260,no-atmosphere,non-habitable,Transit,2016,
Kepler-807 b,10.42,1312,hydrogen-rich,non-habitable,Transit,2016,
Kepler-808 b,1.46,321,metals-rich,non-habitable,Transit,2016,
Kepler-809 b,3.01,933,metals-rich,non-habitable,Transit,2016,
Kepler-810 b,1.93,1554,metals-rich,non-habitable,Transit,2016,
Kepler-811 b,2.7,847,metals-rich,non-habitable,Transit,2016,
Kepler-812 b,3.55,1482,metals-rich,non-habitable,Transit,2016,
Kepler-813 b,2.14,840,metals-rich,non-habitable,Transit,2016,
Kepler-814 b,2.12,1327,metals-rich,non-habitable,Transit,2016,
Kepler-815 b,4.11,1199,metals-rich,non-habitable,Transit,2016,
Kepler-816 b,10.24,1059,hydrogen-rich,non-habitable,Transit,2016,
Kepler-817 b,9.03,1401,metals-rich,non-habitable,Transit,2016,
Kepler-818 b,5.11,967,metals-rich,non-habitable,Transit,2016,
Kepler-819 b,2.76,722,metals-rich,non-habitable,Transit,2016,
Kepler-820 b,6.08,989,metals-rich,non-habitable,Transit,2016,
Kepler-821 b,1.31,619,no-atmosphere,non-habitable,Transit,2016,
Kepler-822 b,1.77,956,metals-rich,non-habitable,Transit,2016,
Kepler-823 b,1.57,896,metals-rich,non-habitable,Transit,2016,
Kepler-824 b,1.87,1352,metals-rich,non-habitable,Transit,2016,
Kepler-825 b,1.52,820,metals-rich,non-habitable,Transit,2016,
Kepler-825 c,1.84,820,metals-rich,non-habitable,Transit,2016,
Kepler-826 b,1.25,649,no-atmosphere,non-habitable,Transit,2016,
Kepler-827 b,5.62,1352,metals-rich,non-habitable,Transit,2016,
Kepler-828 b,1.51,625,no-atmosphere,non-habitable,Transit,2016,
Kepler-829 b,2.11,954,metals-rich,non-habitable,Transit,2016,
Kepler-830 b,1.7,1122,metals-rich,non-habitable,Transit,2016,
